Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP,ENCUESTAS_ASIGNADAS
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,168,1116,1108,39408.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,35,800,793,39550.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,259,1037,1033,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,217,1905,1892,,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,211,942,935,39699.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,337,1232,1218,39920.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,247,2642,2626,39562.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,43,1010,1001,39550.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,338,1354,1334,39920.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,340,694,649,39552.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,159,1259,1249,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,101,936,931,39300.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,151,1189,1184,39715.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,352,609,607,39931.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,374,2587,2571,39991.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,351,1408,1400,39931.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,146,1797,1794,39759.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,176,1387,1377,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,64,708,704,39590.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,334,2125,2109,39500.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,236,710,708,39610.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,195,837,835,39620.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,358,467,459,39931.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,278,3176,3158,,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,163,279,274,39700.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,17,981,972,39422.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,4,927,925,39405.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,161,1787,1776,39660.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,56,1301,1295,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,69,902,899,39480.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,375,1151,1141,39991.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,199,1104,1100,39740.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,123,2465,2449,39931.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,349,574,571,39931.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,15,822,818,39422.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39550.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,6,715,707,39412.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,383,1217,1212,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,105,1521,1517,39390.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,12,833,829,39422.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,20,1077,1067,39530.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,202,1464,1455,39988.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,364,1976,1969,39897.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,93,746,742,39300.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,25,1229,1220,39500.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2807,2327,2314,39905.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,40,965,963,,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,154,1195,1188,39715.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,62,485,481,,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,370,1883,1864,38452.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,50,1480,1467,39460.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,186,1308,1305,39785.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,169,1214,1202,39510.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,19,2645,2637,39422.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,128,1987,1970,39700.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,257,1774,1765,,10
Distrito 23,CHILAPA DE ALVAREZ,ATENANGO DEL RIO,557,409,406,,10
