Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2801,2012,1996,39730
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,128,1987,1970,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,121,1972,1963,39640
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,121,1972,1963,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,162,1857,1847,39730
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,162,1857,1847,39759
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,162,1857,1847,39740
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,333,1853,1814,39321
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,224,1812,1797,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,146,1797,1794,39759
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,146,1797,1794,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,130,1777,1766,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,127,1705,1696,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,230,1687,1676,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,230,1687,1676,39510
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,171,1652,1643,39730
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,171,1652,1643,39740
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,171,1652,1643,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,148,1617,1606,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,228,1607,1599,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,147,1571,1564,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,141,1573,1562,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,129,1550,1534,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,225,1488,1485,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,225,1488,1485,39630
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,131,1492,1483,39640
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,131,1492,1483,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,226,1469,1463,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,144,1377,1374,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,139,1384,1372,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,338,1354,1334,39920
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,338,1354,1334,39500
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,170,1333,1326,39740
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,170,1333,1326,39720
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,170,1333,1326,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,233,1306,1300,39610
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,142,1285,1273,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,223,1271,1262,39600
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,25,1229,1220,39500
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,337,1232,1218,39920
